codigo del grupo,nombre grupo,category,instituciones,fecha_creacion,anio,years
COL0000013,"""grupo de estudios ecogeneticos y de biologia molecular""",A,Universidad Del Valle,Agosto  de  1999.  ,1999,23
COL0000022,-ciem- colectivo de investigadores en educacion matematica,C,Universidad De La Amazonia,Diciembre  de  1982.  ,1982,40
COL0000049,-gisapa- grupo de investigación en sistemas agroforestales para la amazonia,C,Universidad De La Amazonia,Abril  de  1997.  ,1997,25
COL0000059,Centro de investigaciones odontológicas,A1,Pontificia Universidad Javeriana,Octubre  de  1996.  ,1996,26
COL0000069,Academia,A,Pontificia Universidad Javeriana,Febrero  de  2000.  ,2000,22
COL0000078,Mundos simbólicos: estudios en educación y vida cotidiana,B,Universidad De Caldas,Mayo  de  1999.  ,1999,23
COL0000111,"Alfa: educación, democracia, pedagogia y desarrollo local",A,Universidad Católica De Manizales,Febrero  de  1997.  ,1997,25
COL0000139,Pueblos y ambientes amazónicos,A1,Universidad Nacional De Colombia,Enero  de  2000.  ,2000,22
COL0000149,"Analisis numerico, optimizacion y problemas inversos (anopi)",A,Universidad Del Valle,Enero  de  2000.  ,2000,22
COL0000176,Aprovechamiento de subproductos agroindustriales,Grupo reconocido,Universidad Del Cauca,Enero  de  2000.  ,2000,22
COL0000185,Hidrología de los andes del norte (hyna),A,Universidad Eafit,Enero  de  1996.  ,1996,26
COL0000229,Aspa (análisis en sistemas de producción agropecuaria),C,Universidad De Caldas,Junio  de  1996.  ,1996,26
COL0000265,"Actores armados, conflicto y derecho internacional humanitario - iepri",A1,Universidad Nacional De Colombia,Agosto  de  1986.  ,1986,36
COL0000309,"Educación, desarrollo y convivencia",C,Universidad De Los Andes,Agosto  de  2001.  ,2001,21
COL0000318,Centro de investigaciones del banano - cenibanano,C,Centro De Investigaciones Del Banano - Cenibanano,Junio  de  2002.  ,2002,20
COL0000336,Agronomía,C,Federación Nacional De Cafeteros De Colombia - Centro Nacional De Investigaciones De Café Cenicafé,Enero  de  1989.  ,1989,33
COL0000363,Alergologia experimental e inmunogenetica,A1,Universidad De Cartagena,Enero  de  1989.  ,1989,33
COL0000407,Alimentación y nutrición humana,A1,Universidad De Antioquia,Enero  de  1999.  ,1999,23
COL0000425,Ambiente y vida,A1,Universidad Francisco De Paula Santander,Octubre  de  2001.  ,2001,21
