,groups,A,A1,B,C,Grupo reconocido,anio
Universidad Nacional De Colombia,1122,227,211,236,363,85,1972
Universidad De Antioquia,467,122,109,108,117,11,1972
Universidad Del Valle,338,87,63,60,109,19,1962
Universidad De Los Andes,292,66,100,24,73,29,1969
Universidad Pedagógica Y Tecnológica De Colombia,271,37,13,72,127,22,1984
Universidad Distrital Francisco José De Caldas,217,33,36,46,88,14,1991
Pontificia Universidad Javeriana,204,46,83,29,40,6,1976
Universidad Tecnológica De Pereira,201,39,21,47,77,17,1989
Universidad De Cartagena,190,20,23,44,71,32,1989
Universidad Libre De Colombia,189,48,10,51,61,19,1994
Universidad Industrial De Santander,171,43,37,42,32,17,1975
Universidad Del Atlántico,164,45,14,30,70,5,1994
Servicio Nacional De Aprendizaje Sena,160,2,0,18,119,21,1990
Corporación Universitaria Minuto De Dios - Uniminuto,148,14,4,47,74,9,1998
Universidad De Caldas,144,42,20,39,39,4,1992
Universidad Del Cauca,142,28,9,34,56,15,1976
Universidad Del Tolima,132,16,5,27,72,12,1987
Universidad Militar Nueva Granada,125,23,16,19,67,0,1994
Universidad De Pamplona,112,20,0,35,49,8,1987
Universidad Santo Tomas,110,34,14,38,22,2,1985
Universidad Del Magdalena,108,42,15,31,20,0,1994
Sin Nombre,106,36,10,21,27,12,1993
Universidad Cooperativa De Colombia,104,20,11,37,35,1,1996
Universidad Francisco De Paula Santander,99,33,2,21,38,5,1999
Universidad El Bosque,99,24,18,30,25,2,1994
Universidad Del Quindío,99,9,5,24,42,19,1990
Universidad De La Guajira,95,17,0,32,37,9,1995
Universidad Pedagógica Nacional,95,19,17,20,33,6,1978
Universidad Surcolombiana,94,14,5,22,48,5,1982
Universidad De La Sabana,92,24,28,20,20,0,1997
Universidad De Nariño,91,12,3,20,51,5,1979
Universidad Nacional Abierta Y A Distancia,91,22,0,34,30,5,1994
Colegio Mayor Nuestra Señora Del Rosario,90,8,40,12,24,6,1978
Universidad Popular Del Cesar,89,12,0,24,41,12,1992
Universidad Simón Bolívar,85,42,31,5,5,2,1980
Universidad De Cordoba,84,18,11,20,30,5,1997
Universidad Pontificia Bolivariana,83,26,30,16,11,0,1974
Universidad Eafit,79,25,31,12,8,3,1987
Universidad Santiago De Cali,78,43,14,14,4,3,1995
Corporacion Universidad De La Costa,78,17,30,8,20,3,1996
Universidad De La Salle,75,16,7,19,33,0,1992
Fundación Universidad Del Norte,74,8,51,4,9,2,1974
Universidad Externado De Colombia,73,20,12,21,18,2,1975
Universidad De San Buenaventura,71,22,15,16,15,3,1996
Universidad De Los Llanos,70,6,0,10,53,1,1994
Universidad Antonio Nariño,70,11,10,22,25,2,1981
Universidad De Cundinamarca,65,3,0,7,47,8,1992
Universidad Ces,60,4,18,13,24,1,1989
Universidad De Santander,56,14,10,16,15,1,1978
Universidad Autonoma Del Caribe,56,18,10,14,13,1,1994
Universidad De Medellin,56,16,21,9,10,0,2000
Universidad De Sucre,55,5,1,15,30,4,1994
Universidad De La Amazonia,54,8,2,8,28,8,1982
Fundacion Universitaria Del Area Andina,53,5,0,22,22,4,2002
Corporación Salud Un,52,3,6,12,30,1,1993
Universidad Tecnologica Del Choco Diego Luis Cordoba,51,2,0,2,34,13,1985
Universidad Manuela Beltran,50,26,7,10,5,2,1997
Universidad Jorge Tadeo Lozano,50,16,11,15,6,2,1990
Corporación Colombiana De Investigación Agropecuaria - Agrosavia,49,9,22,6,8,4,1994
Universidad Manuela Beltrán Seccional Bucaramanga,48,26,7,10,3,2,1997
Universidad Autonoma De Occidente,47,7,10,13,16,1,1993
Universidad De Boyacá,47,18,4,23,0,2,1990
Universidad Autonoma De Bucaramanga,47,16,3,14,12,2,1985
Universidad Sergio Arboleda,44,21,9,8,6,0,2000
Universidad Del Sinú - Elías Bechara Zainum,43,7,8,13,12,3,1999
Clínica Colsanitas S.A.,42,2,3,6,26,5,1997
Universidad Colegio Mayor De Cundinamarca,41,4,3,3,25,6,1999
Fundación Universitaria Sanitas,41,2,3,6,27,3,1997
Dirección Nacional De Escuelas - Policía Nacional De Colombia,40,4,0,4,22,10,2001
Unidades Tecnologicas De Santander,40,4,4,2,27,3,2003
Universidad Autónoma De Colombia,39,1,0,3,22,13,1994
Ejercito De Colombia-Direccion De Ciencia Y Tecnologia,39,4,0,6,24,5,1998
"Universidad Santo Tomás, Seccional Bucaramanga",38,21,1,8,8,0,1998
Politécnico Colombiano Jaime Isaza Cadavid,37,8,2,5,15,7,1998
Fundacion Santa Fe De Bogota,37,5,9,2,19,2,1998
Pontificia Universidad Javeriana - Puj - Sede Cali,37,7,18,6,6,0,1995
Universidad Catolica De Colombia,36,14,13,3,6,0,1995
Universitaria Agustiniana,36,8,0,4,24,0,2001
Universidad Metropolitana,36,15,0,9,12,0,2001
Hospital Militar Central,35,4,3,0,28,0,2001
Universidad Ecci,33,2,2,10,13,6,2005
Sociedad De Cirugía De Bogotá - Hospital De San José,33,2,0,24,7,0,1982
Universidad Mariana - Unimar,32,2,0,18,12,0,2004
Universidad Cesmag,32,3,0,2,22,5,2000
Fundación Universitaria De Ciencias De La Salud - Fucs,32,2,0,24,6,0,1982
Escuela Colombiana De Ingenieria Julio Garavito,31,11,1,6,13,0,1995
Universidad De Manizales - Umanizales,30,11,15,3,0,1,1998
Universidad Tecnológica De Bolívar,29,5,4,9,8,3,1998
Universidad Pontificia Bolivariana Seccional Bucaramanga,28,5,0,14,8,1,2000
Fundación Cardioinfantil-Instituto De Cardiología,28,0,16,1,10,1,1969
Universidad Autonoma De Manizales,28,16,3,7,2,0,1989
Corporacion Universitaria Rafael Nuñez,27,4,4,10,7,2,2001
Institucion Prestadora De Servicios De Salud Universidad De Antioquia I.P.S. Universitaria,27,3,8,2,12,2,1980
Instituto Tecnológico Metropolitano De Medellín,27,7,12,4,2,2,1999
Fundación Hospital Infantil Universitario De San José,27,2,0,21,4,0,2005
Universidad De Ciencias Aplicadas Y Ambientales U.D.C.A,26,6,6,7,7,0,1990
Hospital Universitario San Ignacio,26,0,11,4,11,0,1980
Instituto Nacional De Salud,26,6,9,2,6,3,1963
Unidad Central Del Valle Del Cauca,25,2,0,4,17,2,2004
Universidad Icesi,24,2,15,3,2,2,1985
Universidad Francisco De Paula Santander Ocaña,24,7,0,8,9,0,2005
Escuela Superior De Administración Pública,23,2,0,2,17,2,2001
Corporacion Unificada De Educacion Superior Cun,23,5,0,5,13,0,2000
Universidad Ean,23,10,5,8,0,0,1996
Universidad Autónoma Latinoamericana - Unaula,23,6,0,10,7,0,2004
Hospital Universitario De La Samaritana - H.U.S.,22,2,0,2,16,2,1993
Universidad Católica De Manizales,22,8,6,6,2,0,1997
Corporación Universitaria Americana,22,15,0,0,7,0,2005
Universidad De Ibagué,22,9,7,2,4,0,1995
Fundación Universitaria Juan N. Corpas,22,5,0,6,8,3,1997
Universidad Catolica Luis Amigo,21,13,1,4,3,0,1995
